product_name,amazon_price,meesho_price,discount_pct,rating,num_reviews,page_views,conversion_rate,demand_intensity,season,price_difference
SmartGen Headphones Plus,2236.79,2100.72,0.0,3.6,66,69,4.35,3.0,Summer,136.07000000000016
UrbanWear Shoes Premium,262.03,242.12,0.0,4.7,107,329,0.61,2.01,Autumn,19.909999999999968
StyleHub Shoes Pro,48.82,42.43,9.86,4.1,256,342,0.29,0.99,Summer,6.390000000000001
TechPro Headphones Standard,2401.75,2196.13,0.0,4.1,117,174,0.57,0.99,Winter,205.6199999999999
StoryWorld Children Pro,50.58,45.79,0.0,4.7,366,357,0.28,1.0,Summer,4.789999999999999
TrendSet Jeans Standard,355.44,324.01,0.0,4.2,226,260,0.38,0.99,Autumn,31.430000000000007
ClassicPress Non-Fiction Pro,38.71,34.7,9.6,4.5,125,490,0.41,2.01,Winter,4.009999999999998
ModernSpace Decor Premium,382.06,349.96,0.0,4.4,355,254,0.79,2.01,Winter,32.10000000000002
KitchenPro Decor Plus,210.59,192.07,0.0,4.3,138,63,3.17,2.0,Winter,18.52000000000001
SmartGen Headphones Plus,2177.01,1932.65,0.0,3.6,66,301,0.33,0.99,Autumn,244.36000000000013
AcademiaBooks Textbooks Elite,36.93,32.68,0.0,3.8,252,407,0.25,1.02,Monsoon,4.25
ElectroMax Smartwatches Plus,1803.8,1630.71,0.0,4.1,43,249,1.2,2.99,Summer,173.08999999999992
AcademiaBooks Comics Plus,95.1,89.27,0.0,3.6,315,76,1.32,1.0,Autumn,5.829999999999998
TrendSet Jackets Premium,73.96,71.91,13.6,4.0,35,232,0.43,1.0,Monsoon,2.049999999999997
TrendSet Jeans Standard,368.39,349.48,0.0,4.2,226,439,0.23,1.01,Monsoon,18.909999999999968
StyleHub T-Shirts Pro,282.91,262.54,0.0,3.9,352,428,0.23,0.98,Monsoon,20.370000000000005
TechPro Laptops Premium,220.16,198.91,23.18,4.3,122,74,4.05,3.0,Summer,21.25
StyleHub T-Shirts Pro,281.97,272.78,0.0,3.9,352,260,0.38,0.99,Monsoon,9.190000000000055
HomeEssence Bedding Pro,27.44,24.04,0.0,3.9,487,165,1.82,3.0,Monsoon,3.400000000000002
